Lieu	N° région, département	Série	Unité	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
ALSACE	42	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	10.0	10.0	8.0	7.0
ALSACE	42	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0	828487.0
ALSACE	42	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	40.0	44.0	42.0	50.0	43.0	41.0	44.0	45.0	44.0	44.0	45.0	44.0	45.0
ALSACE	42	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	7.0	19.0	5.0	32.0	8.0	10.0	18.0	2.0	1.0	1.0	8.0	4.0	2.0
ALSACE	42	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	1.7	6.9	2.2	16.5	3.6	4.3	8.0	0.7	0.1	0.5	3.0	1.5	0.6
ALSACE	42	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	2.1	7.6	2.2	16.5	4.0	4.3	8.0	1.1	1.0	1.0	3.3	1.7	1.0
ALSACE	42	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALSACE	42	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.1	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALSACE	42	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	1.0	ND	ND	1.8	ND	ND	ND	ND	ND	ND	ND	ND	ND
ALSACE	42	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	44.0	61.0	46.0	98.0	44.0	42.0	54.0	47.0	39.0	42.0	41.0	44.0	31.0
ALSACE	42	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	1.9	11.6	2.9	43.9	4.7	2.8	12.7	3.5	0.7	1.5	4.3	2.9	0.0
ALSACE	42	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	7.0	14.2	6.4	43.9	10.4	3.9	12.7	4.8	4.0	5.0	5.4	4.6	ND
ALSACE	42	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0
ALSACE	42	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	62.0	64.0	64.0	72.0	62.0	62.0	66.0	60.0	50.0	57.0	57.0	56.0	56.0
AQUITAINE	72	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	8.0	8.0	12.0	13.0	14.0	15.0	15.0	15.0	15.0	15.0	14.0	13.0	12.0
AQUITAINE	72	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	1265523.0	1265523.0	1411677.0	1414571.0	1463351.0	1524808.0	1524808.0	1524808.0	1524808.0	1524808.0	1463351.0	1524808.0	1463351.0
AQUITAINE	72	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	39.0	43.0	44.0	54.0	ND	52.0	51.0	48.0	49.0	51.0	52.0	53.0	51.0
